算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数,下界
LBBD3.py,30-5-6-a0.1-i1.json,30,5,6,0.1,1,5665,5360,0.053839365,201,1801.3,1509.611,100.054,191.159,18,5352
LBBD3.py,30-5-6-a10-i3.json,30,5,6,10,3,4986,4986,0,254,637.652,295.287,201.179,140.583,15,4986
LBBD3.py,30-5-7-a0.1-i1.json,30,5,7,0.1,1,5585,5269,0.056580125,283,1802.175,1177.435,341.327,282.81,16,5263
LBBD3.py,30-5-7-a1-i1.json,30,5,7,1,1,5778,5310,0.08099688,181,1824.562,1437.835,183.471,202.85,20,5314
LBBD3.py,30-5-8-a1-i3.json,30,5,8,1,3,4997,4862,0.02701621,354,1811.395,1472.688,165.675,172.385,19,4855
LBBD3.py,30-5-8-a10-i3.json,30,5,8,10,3,4639,4639,0,23,22.661,7.078,9.442,5.769,16,4639
LBBD3.py,50-3-6-a0.1-i3.json,50,3,6,0.1,3,11789,9622,0.183815421,124,1812.21,985.165,345.836,480.725,43,9619
LBBD3.py,50-3-6-a1-i3.json,50,3,6,1,3,11813,9625,0.185219673,125,1820.05,989.037,349.26,481.263,44,9623
LBBD3.py,50-3-7-a0.1-i3.json,50,3,7,0.1,3,11973,9275,0.225340349,66,1850.416,1007.004,456.233,386.862,44,9275
LBBD3.py,50-3-7-a100-i3.json,50,3,7,100,3,8974,8974,0,1,17.379,0.194,17.007,0,18,8974
LBBD3.py,50-3-8-a0.1-i1.json,50,3,8,0.1,1,10157,8525,0.160677365,243,1802.615,1126.706,267.058,408.269,42,8514
LBBD3.py,50-3-8-a100-i2.json,50,3,8,100,2,8893,8893,0,1,53.963,0.205,53.57,0,25,8893
LBBD3.py,50-4-6-a0.1-i2.json,50,4,6,0.1,2,11168,8493,0.239523638,67,1809.504,1593.008,61.65,154.397,41,8495
LBBD3.py,50-4-6-a1-i2.json,50,4,6,1,2,10659,8550,0.197860963,32,778.511,678.858,34.011,65.36,40,
LBBD3.py,50-4-7-a10-i2.json,50,4,7,10,2,8579,8144,0.05070521,40,1834.428,24.616,828.384,981.059,26,8146
LBBD3.py,50-4-7-a100-i1.json,50,4,7,100,1,7961,7961,0,1,0.955,0.281,0.441,0,25,7961
LBBD3.py,50-4-8-a10-i2.json,50,4,8,10,2,8869,8236,0.071372195,126,1810.611,197.546,721.914,890.551,29,8236
LBBD3.py,50-4-8-a100-i1.json,50,4,8,100,1,7956,7956,0,1,1.558,0.313,0.836,0,25,7956
LBBD3.py,50-5-6-a1-i2.json,50,5,6,1,2,10323,8490,0.177564661,87,1810.123,1573.472,71.18,165.085,38,8483
LBBD3.py,50-5-6-a100-i3.json,50,5,6,100,3,8607,8607,0,1,1.728,0.321,1.173,0,19,8607
LBBD3.py,50-5-7-a0.1-i3.json,50,5,7,0.1,3,10171,8825,0.132337042,133,1804.257,1469.409,103.446,230.906,34,8825
LBBD3.py,50-5-7-a1-i2.json,50,5,7,1,2,10009,8259,0.174842642,113,1828.288,1526.309,104.048,197.45,38,8252
