instance,N_whale,a_decay,b,objective,time,status
50-5-8-a0.1-i1.json,50,sqrt,1.0,11840.0,299.15944647789,success
50-5-8-a0.1-i1.json,50,sqrt,1.5,11840.0,300.04170656204224,success
50-5-8-a0.1-i1.json,80,linear,1.0,11840.0,299.45435905456543,success
50-5-8-a0.1-i1.json,80,linear,1.5,11840.0,299.81408619880676,success
50-5-8-a0.1-i1.json,80,sqrt,1.0,11840.0,299.30138778686523,success
50-5-8-a0.1-i1.json,80,sqrt,1.5,11840.0,299.5222854614258,success
70-3-6-a100-i1.json,30,linear,1.0,17480.0,300.0274271965027,success
70-3-6-a100-i1.json,30,linear,1.5,17216.0,299.9356892108917,success
70-3-6-a100-i1.json,30,sqrt,1.0,17216.0,299.2897574901581,success
70-3-6-a100-i1.json,30,sqrt,1.5,17216.0,300.0312099456787,success
70-3-6-a100-i1.json,50,linear,1.0,17480.0,299.49848318099976,success
70-3-6-a100-i1.json,50,linear,1.5,17480.0,299.62625193595886,success
70-3-6-a100-i1.json,50,sqrt,1.0,17480.0,299.03059458732605,success
70-3-6-a100-i1.json,50,sqrt,1.5,17480.0,300.0404827594757,success
70-3-6-a100-i1.json,80,linear,1.0,17480.0,299.3154487609863,success
70-3-6-a100-i1.json,80,linear,1.5,17480.0,299.5930061340332,success
70-3-6-a100-i1.json,80,sqrt,1.0,17480.0,299.82776498794556,success
70-3-6-a100-i1.json,80,sqrt,1.5,17480.0,299.56769132614136,success
70-3-7-a10-i2.json,30,linear,1.0,17850.0,299.71935415267944,success
70-3-7-a10-i2.json,30,linear,1.5,17850.0,299.351145029068,success
70-3-7-a10-i2.json,30,sqrt,1.0,17850.0,299.19961810112,success
70-3-7-a10-i2.json,30,sqrt,1.5,17850.0,300.0530869960785,success
70-3-7-a10-i2.json,50,linear,1.0,17850.0,299.9465651512146,success
70-3-7-a10-i2.json,50,linear,1.5,17850.0,299.6754376888275,success
70-3-7-a10-i2.json,50,sqrt,1.0,17850.0,299.3612198829651,success
70-3-7-a10-i2.json,50,sqrt,1.5,17850.0,300.0398528575897,success
70-3-7-a10-i2.json,80,linear,1.0,17850.0,300.02735686302185,success
70-3-7-a10-i2.json,80,linear,1.5,17850.0,299.6031503677368,success
70-3-7-a10-i2.json,80,sqrt,1.0,17850.0,299.68141078948975,success
70-3-7-a10-i2.json,80,sqrt,1.5,17850.0,299.1820435523987,success
70-3-8-a10-i1.json,30,linear,1.0,17480.0,299.167729139328,success
70-3-8-a10-i1.json,30,linear,1.5,17480.0,299.32570362091064,success
70-3-8-a10-i1.json,30,sqrt,1.0,17480.0,299.22336602211,success
70-3-8-a10-i1.json,30,sqrt,1.5,17480.0,299.32907700538635,success
70-3-8-a10-i1.json,50,linear,1.0,17480.0,299.2815008163452,success
70-3-8-a10-i1.json,50,linear,1.5,17480.0,299.6943440437317,success
70-3-8-a10-i1.json,50,sqrt,1.0,17480.0,299.19518876075745,success
70-3-8-a10-i1.json,50,sqrt,1.5,17480.0,299.59447860717773,success
70-3-8-a10-i1.json,80,linear,1.0,17480.0,299.27907967567444,success
70-3-8-a10-i1.json,80,linear,1.5,17480.0,300.0716931819916,success
70-3-8-a10-i1.json,80,sqrt,1.0,17480.0,300.0233166217804,success
70-3-8-a10-i1.json,80,sqrt,1.5,17480.0,299.17710638046265,success
70-4-6-a100-i3.json,30,linear,1.0,18380.0,299.6744894981384,success
70-4-6-a100-i3.json,30,linear,1.5,18380.0,299.33354783058167,success
70-4-6-a100-i3.json,30,sqrt,1.0,18380.0,299.8268995285034,success
