instance,O,P,Q,l_max,objective,time,status
70-4-6-a100-i3.json,1,0,0,8,11562.0,299.8103814125061,success
70-4-6-a100-i3.json,1,0,1,2,11562.0,300.0548346042633,success
70-4-6-a100-i3.json,1,0,1,5,11562.0,299.72890520095825,success
70-4-6-a100-i3.json,1,0,1,8,11562.0,300.0246889591217,success
70-4-7-a0.1-i2.json,0,0,0,2,17341.0,299.02597165107727,success
70-4-7-a0.1-i2.json,0,0,0,5,17371.0,299.0330970287323,success
70-4-7-a0.1-i2.json,0,0,0,8,17398.0,299.0355770587921,success
70-4-7-a0.1-i2.json,0,0,1,2,17341.0,299.0222725868225,success
70-4-7-a0.1-i2.json,0,0,1,5,17371.0,299.0222568511963,success
70-4-7-a0.1-i2.json,0,0,1,8,17398.0,299.0223300457001,success
70-4-7-a0.1-i2.json,1,0,0,2,4011235.0,299.1779475212097,success
70-4-7-a0.1-i2.json,1,0,0,5,4011235.0,299.6572699546814,success
70-4-7-a0.1-i2.json,1,0,0,8,4011235.0,299.34315037727356,success
70-4-7-a0.1-i2.json,1,0,1,2,4011235.0,299.8655278682709,success
70-4-7-a0.1-i2.json,1,0,1,5,4011235.0,299.00230884552,success
70-4-7-a0.1-i2.json,1,0,1,8,4011235.0,299.0175802707672,success
70-4-8-a0.1-i3.json,0,0,0,2,17208.0,299.0288393497467,success
70-4-8-a0.1-i3.json,0,0,0,5,17565.0,299.0085537433624,success
70-4-8-a0.1-i3.json,0,0,0,8,17565.0,299.02148509025574,success
70-4-8-a0.1-i3.json,0,0,1,2,17208.0,299.04621934890747,success
70-4-8-a0.1-i3.json,0,0,1,5,17565.0,299.00864934921265,success
70-4-8-a0.1-i3.json,0,0,1,8,17565.0,299.02660751342773,success
70-4-8-a0.1-i3.json,1,0,0,2,3011841.0,299.88692569732666,success
70-4-8-a0.1-i3.json,1,0,0,5,3011841.0,299.45490193367004,success
70-4-8-a0.1-i3.json,1,0,0,8,3011841.0,299.6854815483093,success
70-4-8-a0.1-i3.json,1,0,1,2,3011841.0,299.3670086860657,success
70-4-8-a0.1-i3.json,1,0,1,5,3011841.0,299.82372975349426,success
70-4-8-a0.1-i3.json,1,0,1,8,3011841.0,299.4233694076538,success
70-5-6-a10-i3.json,0,0,0,2,16676.0,299.0381805896759,success
70-5-6-a10-i3.json,0,0,0,5,17098.0,299.037561416626,success
70-5-6-a10-i3.json,0,0,0,8,17098.0,299.03754234313965,success
70-5-6-a10-i3.json,0,0,1,2,16676.0,299.04141545295715,success
70-5-6-a10-i3.json,0,0,1,5,17098.0,299.0049502849579,success
70-5-6-a10-i3.json,0,0,1,8,17098.0,299.03249311447144,success
70-5-6-a10-i3.json,1,0,0,2,2017595.0,299.6251974105835,success
70-5-6-a10-i3.json,1,0,0,5,2017595.0,299.0421133041382,success
70-5-6-a10-i3.json,1,0,0,8,2017595.0,299.0492482185364,success
70-5-6-a10-i3.json,1,0,1,2,2017595.0,299.44964838027954,success
70-5-6-a10-i3.json,1,0,1,5,2017595.0,299.7754909992218,success
70-5-6-a10-i3.json,1,0,1,8,2017595.0,299.7412438392639,success
70-5-7-a10-i3.json,0,0,0,2,16682.0,299.02065992355347,success
70-5-7-a10-i3.json,0,0,0,5,16682.0,299.0025317668915,success
70-5-7-a10-i3.json,0,0,0,8,16682.0,299.02050733566284,success
70-5-7-a10-i3.json,0,0,1,2,16682.0,299.0105576515198,success
70-5-7-a10-i3.json,0,0,1,5,16682.0,299.00804448127747,success
70-5-7-a10-i3.json,0,0,1,8,16682.0,299.0253734588623,success
70-5-7-a10-i3.json,1,0,0,2,2011653.0,299.50525069236755,success
70-5-7-a10-i3.json,1,0,0,5,2011653.0,299.9613182544708,success
70-5-7-a10-i3.json,1,0,0,8,2011653.0,299.10257935523987,success
70-5-7-a10-i3.json,1,0,1,2,2011653.0,299.5375175476074,success
70-5-7-a10-i3.json,1,0,1,5,2011653.0,299.0236916542053,success
70-5-7-a10-i3.json,1,0,1,8,2011653.0,299.6278281211853,success
70-5-8-a1-i3.json,0,0,0,2,16890.0,299.0196123123169,success
70-5-8-a1-i3.json,0,0,0,5,16753.0,299.02129077911377,success
70-5-8-a1-i3.json,0,0,0,8,17192.0,299.0089852809906,success
70-5-8-a1-i3.json,0,0,1,2,16890.0,299.0563066005707,success
70-5-8-a1-i3.json,0,0,1,5,17192.0,299.0134046077728,success
70-5-8-a1-i3.json,0,0,1,8,17192.0,299.03645849227905,success
70-5-8-a1-i3.json,1,0,0,2,4011425.0,299.0287411212921,success
70-5-8-a1-i3.json,1,0,0,5,4011425.0,299.6860828399658,success
70-5-8-a1-i3.json,1,0,0,8,4011425.0,299.2299292087555,success
70-5-8-a1-i3.json,1,0,1,2,4011425.0,299.1746745109558,success
70-5-8-a1-i3.json,1,0,1,5,4011425.0,299.470978975296,success
70-5-8-a1-i3.json,1,0,1,8,4011425.0,299.14902997016907,success
